project_index,project,number_of_images,baseline_run_id,ridge_run_id,ridge_model_id,status_baseline,status_ridge,baseline_psnr_7000,ridge_psnr_7000,psnr_delta_7000,baseline_ssim_7000,ridge_ssim_7000,ssim_delta_7000,baseline_lpips_7000,ridge_lpips_7000,lpips_improvement_7000,baseline_loss_7000,ridge_loss_7000,baseline_runtime_seconds,ridge_runtime_seconds,runtime_delta_seconds,baseline_gaussians,ridge_gaussians,gaussian_delta,geometry_multiplier,appearance_multiplier,densification_multiplier,baseline_gaussian_cap_reached,ridge_gaussian_cap_reached,baseline_analytics_path,ridge_analytics_path
1,12-Maisonneuve Market,394,12_maisonneuve_market_phase1_run1_20260722_210001,12_maisonneuve_market_phase2_run1_regularizati_20260722_224359,model_compact-ridge_20260721_195042_ridge_without_intercept_regularization,success,success,17.225297927856445,17.5001220703125,0.2748241424560547,0.6563243865966797,0.6634649634361267,0.0071405768394470215,0.46639174222946167,0.45040377974510193,0.01598796248435974,0.20652808248996735,0.2547008991241455,646.1180267333984,599.5186657905579,-46.599360942840576,327735,240077,-87658,1.4747448768733287,1.0570667549471469,1.4299999938913033,False,False,E:\Thesis\PipelineTests\Test_7000_Steps\12-Maisonneuve_Market\runs\12_maisonneuve_market_phase1_run1_20260722_210001\analytics\run_analytics_v1.json,E:\Thesis\PipelineTests\Test_7000_Steps\12-Maisonneuve_Market\runs\12_maisonneuve_market_phase2_run1_regularizati_20260722_224359\analytics\run_analytics_v1.json
2,4-Thomas-More-Church,158,4_thomas_more_church_phase1_run1_20260722_211801,4_thomas_more_church_phase2_run1_regularizati_20260722_230009,model_compact-ridge_20260721_195042_ridge_without_intercept_regularization,success,success,22.202800750732422,22.190990447998047,-0.011810302734375,0.7963706851005554,0.8002563714981079,0.0038856863975524902,0.268902987241745,0.2671973407268524,0.0017056465148925781,0.05991760641336441,0.06411218643188477,600.376195192337,582.9140858650208,-17.462109327316284,745307,560586,-184721,1.4747448768733287,1.181155952824815,1.4299999938913033,False,False,E:\Thesis\PipelineTests\Test_7000_Steps\4-Thomas-More-Church\runs\4_thomas_more_church_phase1_run1_20260722_211801\analytics\run_analytics_v1.json,E:\Thesis\PipelineTests\Test_7000_Steps\4-Thomas-More-Church\runs\4_thomas_more_church_phase2_run1_regularizati_20260722_230009\analytics\run_analytics_v1.json
3,Brasov,888,brasov_phase1_run1_20260722_213525,brasov_phase2_run1_regularizati_20260722_231603,model_compact-ridge_20260721_195042_ridge_without_intercept_regularization,success,success,24.209257125854492,24.074316024780273,-0.13494110107421875,0.8286157846450806,0.8350677490234375,0.006451964378356934,0.15746496617794037,0.14137646555900574,0.01608850061893463,0.11939806491136551,0.11891669780015945,1780.6453714370728,1630.9341979026794,-149.7111735343933,3524707,2897494,-627213,2.0574599129471225,1.0570667549471469,1.4299999938913033,False,False,E:\Thesis\PipelineTests\Test_7000_Steps\Brasov\runs\brasov_phase1_run1_20260722_213525\analytics\run_analytics_v1.json,E:\Thesis\PipelineTests\Test_7000_Steps\Brasov\runs\brasov_phase2_run1_regularizati_20260722_231603\analytics\run_analytics_v1.json
4,Changu,1048,changu_phase1_run1_20260723_203559,changu_phase2_run1_regularizati_20260723_232135,model_compact-ridge_20260721_195042_ridge_without_intercept_regularization,success,success,20.425382614135742,20.40454864501953,-0.020833969116210938,0.6411534547805786,0.659621000289917,0.01846754550933838,0.48266735672950745,0.4390794038772583,0.043587952852249146,0.20625989139080048,0.20672479271888733,1144.193297624588,1266.6589407920837,122.46564316749573,923357,1664650,741293,1.6478653614491223,1.3198119970798372,0.7000000027571127,False,False,E:\Thesis\PipelineTests\Test_7000_Steps\Changu\runs\changu_phase1_run1_20260723_203559\analytics\run_analytics_v1.json,E:\Thesis\PipelineTests\Test_7000_Steps\Changu\runs\changu_phase2_run1_regularizati_20260723_232135\analytics\run_analytics_v1.json
5,Chatteau_circle_60_and_45_degrees,44,chatteau_circle_60_and_45_degrees_phase1_run1_20260722_221444,chatteau_circle_60_and_45_degrees_phase2_run1_regularizati_20260722_234945,model_compact-ridge_20260721_195042_ridge_without_intercept_regularization,success,success,23.385038375854492,23.72951316833496,0.34447479248046875,0.5894995927810669,0.6620606184005737,0.07256102561950684,0.4006936252117157,0.2223511040210724,0.1783425211906433,0.08760610222816467,0.05276932194828987,501.4257562160492,1146.356173992157,644.9304177761078,494112,2580902,2086790,2.0574599129471225,1.4747448768733287,0.7000000027571127,False,False,E:\Thesis\PipelineTests\Test_7000_Steps\Chatteau_circle_60_and_45_degrees\runs\chatteau_circle_60_and_45_degrees_phase1_run1_20260722_221444\analytics\run_analytics_v1.json,E:\Thesis\PipelineTests\Test_7000_Steps\Chatteau_circle_60_and_45_degrees\runs\chatteau_circle_60_and_45_degrees_phase2_run1_regularizati_20260722_234945\analytics\run_analytics_v1.json
6,DJI_202402171501_006_KTM20-oblique,478,dji_202402171501_006_ktm20_oblique_phase1_run1_20260723_210609,dji_202402171501_006_ktm20_oblique_phase2_run1_regularizati_20260723_234914,model_compact-ridge_20260721_195042_ridge_without_intercept_regularization,success,success,23.47492027282715,22.662214279174805,-0.8127059936523438,0.7852492332458496,0.7784926891326904,-0.00675654411315918,0.2539542317390442,0.23299920558929443,0.020955026149749756,0.06883841753005981,0.07319235801696777,1561.189670085907,3513.4959836006165,1952.3063135147095,3558868,5263331,1704463,2.568863543154017,1.181155952824815,0.7000000027571127,False,False,E:\Thesis\PipelineTests\Test_7000_Steps\DJI_202402171501_006_KTM20-oblique\runs\dji_202402171501_006_ktm20_oblique_phase1_run1_20260723_210609\analytics\run_analytics_v1.json,E:\Thesis\PipelineTests\Test_7000_Steps\DJI_202402171501_006_KTM20-oblique\runs\dji_202402171501_006_ktm20_oblique_phase2_run1_regularizati_20260723_234914\analytics\run_analytics_v1.json
7,Kninice_Church_of_the_Exaltation_of_the_Holy_Cross,160,kninice_church_of_the_exaltation_of_the_holy_cross_phase1_run1_20260723_214119,kninice_church_of_the_exaltation_of_the_holy_cross_phase2_run1_regularizati_20260724_005400,model_compact-ridge_20260721_195042_ridge_without_intercept_regularization,success,success,21.814970016479492,22.03925895690918,0.2242889404296875,0.6962690353393555,0.7217763662338257,0.025507330894470215,0.42836031317710876,0.3665121793746948,0.06184813380241394,0.05470465123653412,0.05203710496425629,415.2942268848419,527.2815992832184,111.98737239837646,317894,760069,442175,1.8413084812479656,1.181155952824815,0.7000000027571127,False,False,E:\Thesis\PipelineTests\Test_7000_Steps\Kninice_Church_of_the_Exaltation_of_the_Holy_Cross\runs\kninice_church_of_the_exaltation_of_the_holy_cross_phase1_run1_20260723_214119\analytics\run_analytics_v1.json,E:\Thesis\PipelineTests\Test_7000_Steps\Kninice_Church_of_the_Exaltation_of_the_Holy_Cross\runs\kninice_church_of_the_exaltation_of_the_holy_cross_phase2_run1_regularizati_20260724_005400\analytics\run_analytics_v1.json
8,Pix4d_forensic,69,pix4d_forensic_phase1_run1_20260722_222942,pix4d_forensic_phase2_run1_regularizati_20260723_001502,model_compact-ridge_20260721_195042_ridge_without_intercept_regularization,success,success,24.41716194152832,24.993026733398438,0.5758647918701172,0.5556128621101379,0.6907289624214172,0.1351161003112793,0.596155047416687,0.36259153485298157,0.23356351256370544,0.1319732517004013,0.09923256188631058,473.28008365631104,953.5408940315247,480.2608103752136,465899,2250114,1784215,1.6478653614491223,1.6478653614491223,0.7000000027571127,False,False,E:\Thesis\PipelineTests\Test_7000_Steps\Pix4d_forensic\runs\pix4d_forensic_phase1_run1_20260722_222942\analytics\run_analytics_v1.json,E:\Thesis\PipelineTests\Test_7000_Steps\Pix4d_forensic\runs\pix4d_forensic_phase2_run1_regularizati_20260723_001502\analytics\run_analytics_v1.json
9,Telc_sv_Jakub_March_18,212,telc_sv_jakub_march_18_phase1_run1_20260723_215528,telc_sv_jakub_march_18_phase2_run1_regularizati_20260724_010916,model_compact-ridge_20260721_195042_ridge_without_intercept_regularization,success,success,21.489044189453125,21.66859245300293,0.1795482635498047,0.7276583909988403,0.7604777812957764,0.032819390296936035,0.3937566578388214,0.32515233755111694,0.06860432028770447,0.14293637871742249,0.16304710507392883,588.4143664836884,1014.9194931983948,426.5051267147064,957078,2562462,1605384,1.6478653614491223,1.3198119970798372,0.7000000027571127,False,False,E:\Thesis\PipelineTests\Test_7000_Steps\Telc_sv_Jakub_March_18\runs\telc_sv_jakub_march_18_phase1_run1_20260723_215528\analytics\run_analytics_v1.json,E:\Thesis\PipelineTests\Test_7000_Steps\Telc_sv_Jakub_March_18\runs\telc_sv_jakub_march_18_phase2_run1_regularizati_20260724_010916\analytics\run_analytics_v1.json
10,Tiburon_Angel_Islands_State_Park_Split_group_3,304,tiburon_angel_islands_state_park_split_group_3_phase1_run1_20260723_221321,tiburon_angel_islands_state_park_split_group_3_phase2_run1_regularizati_20260724_013239,model_compact-ridge_20260721_195042_ridge_without_intercept_regularization,success,success,20.507577896118164,20.401966094970703,-0.10561180114746094,0.6616316437721252,0.6928273439407349,0.03119570016860962,0.4696122705936432,0.4008920192718506,0.0687202513217926,0.12768608331680298,0.12495417892932892,786.8424127101898,1078.0389323234558,291.196519613266,1211261,2467032,1255771,1.6478653614491223,1.181155952824815,0.7000000027571127,False,False,E:\Thesis\PipelineTests\Test_7000_Steps\Tiburon_Angel_Islands_State_Park_Split_group_3\runs\tiburon_angel_islands_state_park_split_group_3_phase1_run1_20260723_221321\analytics\run_analytics_v1.json,E:\Thesis\PipelineTests\Test_7000_Steps\Tiburon_Angel_Islands_State_Park_Split_group_3\runs\tiburon_angel_islands_state_park_split_group_3_phase2_run1_regularizati_20260724_013239\analytics\run_analytics_v1.json
