term,coefficient,absolute_coefficient
intercept,-0.010710037444168185,0.010710037444168185
gsd_median,0.0049972612240110565,0.0049972612240110565
overlap_proxy,0.0011088211716764665,0.0011088211716764665
coverage_spread,-0.013102375180492438,0.013102375180492438
camera_angle_bucket,0.0,0.0
heading_consistency,0.0009136250488406533,0.0009136250488406533
texture_density,-0.02899306786134871,0.02899306786134871
blur_motion_risk,-0.020295574588911028,0.020295574588911028
terrain_roughness_proxy,0.00098588592531933,0.00098588592531933
vegetation_complexity_score,0.003012769934165733,0.003012769934165733
vegetation_cover_percentage,-0.00103674393572835,0.00103674393572835
log_geometry_lr_mult,0.04271573604460165,0.04271573604460165
log_appearance_lr_mult,0.02015429752302097,0.02015429752302097
log_densification_mult,-0.0186912280099715,0.0186912280099715
log_geometry_lr_mult^2,-0.03723609612183559,0.03723609612183559
log_appearance_lr_mult^2,-0.03695535341158627,0.03695535341158627
log_densification_mult^2,0.34495241812834837,0.34495241812834837
gsd_median x log_geometry_lr_mult,0.00386801576756372,0.00386801576756372
overlap_proxy x log_geometry_lr_mult,-0.003827299769952019,0.003827299769952019
coverage_spread x log_geometry_lr_mult,-0.008084312264963776,0.008084312264963776
camera_angle_bucket x log_geometry_lr_mult,0.0,0.0
heading_consistency x log_geometry_lr_mult,-0.001529729156436153,0.001529729156436153
texture_density x log_geometry_lr_mult,0.013764447338177242,0.013764447338177242
blur_motion_risk x log_geometry_lr_mult,0.01756237813799054,0.01756237813799054
terrain_roughness_proxy x log_geometry_lr_mult,-0.008869714086040113,0.008869714086040113
vegetation_complexity_score x log_geometry_lr_mult,0.06547039462850762,0.06547039462850762
vegetation_cover_percentage x log_geometry_lr_mult,-0.06819660714448918,0.06819660714448918
gsd_median x log_appearance_lr_mult,-0.0022536539476864423,0.0022536539476864423
overlap_proxy x log_appearance_lr_mult,0.0010127339022377607,0.0010127339022377607
coverage_spread x log_appearance_lr_mult,-0.008117952875413392,0.008117952875413392
camera_angle_bucket x log_appearance_lr_mult,0.0,0.0
heading_consistency x log_appearance_lr_mult,0.00014265049110462428,0.00014265049110462428
texture_density x log_appearance_lr_mult,0.01856663275705876,0.01856663275705876
blur_motion_risk x log_appearance_lr_mult,0.013071911400186997,0.013071911400186997
terrain_roughness_proxy x log_appearance_lr_mult,-0.010985562157680396,0.010985562157680396
vegetation_complexity_score x log_appearance_lr_mult,-0.014205406946813583,0.014205406946813583
vegetation_cover_percentage x log_appearance_lr_mult,0.012584020080033693,0.012584020080033693
gsd_median x log_densification_mult,0.011253933832318545,0.011253933832318545
overlap_proxy x log_densification_mult,-0.0033900484968069646,0.0033900484968069646
coverage_spread x log_densification_mult,0.014858217263889048,0.014858217263889048
camera_angle_bucket x log_densification_mult,0.0,0.0
heading_consistency x log_densification_mult,-0.0035534729376813113,0.0035534729376813113
texture_density x log_densification_mult,-0.037253203683532576,0.037253203683532576
blur_motion_risk x log_densification_mult,-0.025070266523939445,0.025070266523939445
terrain_roughness_proxy x log_densification_mult,0.016259540419572862,0.016259540419572862
vegetation_complexity_score x log_densification_mult,-0.013846868251505441,0.013846868251505441
vegetation_cover_percentage x log_densification_mult,0.016739568019186645,0.016739568019186645
