term,coefficient,absolute_coefficient
intercept,-0.03538018420081823,0.03538018420081823
gsd_median,0.012762476851348598,0.012762476851348598
overlap_proxy,0.014764642133277535,0.014764642133277535
coverage_spread,-0.011373912241508993,0.011373912241508993
camera_angle_bucket,0.0,0.0
heading_consistency,-0.0033694919370118766,0.0033694919370118766
texture_density,-0.13316871440255856,0.13316871440255856
blur_motion_risk,-0.10788836380502606,0.10788836380502606
terrain_roughness_proxy,0.02485815289816657,0.02485815289816657
vegetation_complexity_score,-0.004370864198622631,0.004370864198622631
vegetation_cover_percentage,0.012944876894031026,0.012944876894031026
log_geometry_lr_mult,0.011520711848184822,0.011520711848184822
log_appearance_lr_mult,-0.018667507939720468,0.018667507939720468
log_densification_mult,0.04486200807835277,0.04486200807835277
log_geometry_lr_mult^2,-0.023568025012154357,0.023568025012154357
log_appearance_lr_mult^2,-0.07440184932154212,0.07440184932154212
log_densification_mult^2,0.7064296964141533,0.7064296964141533
gsd_median x log_geometry_lr_mult,0.0023696265132847833,0.0023696265132847833
overlap_proxy x log_geometry_lr_mult,0.006519508492396196,0.006519508492396196
coverage_spread x log_geometry_lr_mult,-0.0037909123533668705,0.0037909123533668705
camera_angle_bucket x log_geometry_lr_mult,0.0,0.0
heading_consistency x log_geometry_lr_mult,0.0012849566212904564,0.0012849566212904564
texture_density x log_geometry_lr_mult,-0.04915125526712731,0.04915125526712731
blur_motion_risk x log_geometry_lr_mult,-0.02108080500759906,0.02108080500759906
terrain_roughness_proxy x log_geometry_lr_mult,0.002437380530477302,0.002437380530477302
vegetation_complexity_score x log_geometry_lr_mult,0.15203845902250357,0.15203845902250357
vegetation_cover_percentage x log_geometry_lr_mult,-0.14901433409043222,0.14901433409043222
gsd_median x log_appearance_lr_mult,0.010214278795065312,0.010214278795065312
overlap_proxy x log_appearance_lr_mult,0.011413505523143408,0.011413505523143408
coverage_spread x log_appearance_lr_mult,-0.017352447463933916,0.017352447463933916
camera_angle_bucket x log_appearance_lr_mult,0.0,0.0
heading_consistency x log_appearance_lr_mult,-0.003522696939217865,0.003522696939217865
texture_density x log_appearance_lr_mult,-0.06628191998886254,0.06628191998886254
blur_motion_risk x log_appearance_lr_mult,-0.048364043249436044,0.048364043249436044
terrain_roughness_proxy x log_appearance_lr_mult,0.013619419679630538,0.013619419679630538
vegetation_complexity_score x log_appearance_lr_mult,-0.0017313840477089408,0.0017313840477089408
vegetation_cover_percentage x log_appearance_lr_mult,0.009754781810436522,0.009754781810436522
gsd_median x log_densification_mult,-0.016958579962785186,0.016958579962785186
overlap_proxy x log_densification_mult,-0.020388652831742612,0.020388652831742612
coverage_spread x log_densification_mult,0.02914565695771156,0.02914565695771156
camera_angle_bucket x log_densification_mult,0.0,0.0
heading_consistency x log_densification_mult,0.009221649156349376,0.009221649156349376
texture_density x log_densification_mult,0.17892455151976225,0.17892455151976225
blur_motion_risk x log_densification_mult,0.13971928850443646,0.13971928850443646
terrain_roughness_proxy x log_densification_mult,-0.047748928712860586,0.047748928712860586
vegetation_complexity_score x log_densification_mult,0.030054068445195713,0.030054068445195713
vegetation_cover_percentage x log_densification_mult,-0.04299594063351948,0.04299594063351948
