project,final_ridge_run_id,repeat_run_id,repeat_status,geometry_final,geometry_repeat,geometry_same,appearance_final,appearance_repeat,appearance_same,densification_final,densification_repeat,densification_same,final_gs,repeat_gs,delta_repeat_minus_final_gs,final_runtime_seconds,repeat_runtime_seconds,delta_repeat_minus_final_runtime_seconds,final_psnr,repeat_psnr,delta_repeat_minus_final_psnr,final_ssim,repeat_ssim,delta_repeat_minus_final_ssim,final_lpips,repeat_lpips,delta_repeat_minus_final_lpips
12-Maisonneuve Market,12_maisonneuve_market_phase2_run1_27-training-_20260712_145054,12_maisonneuve_market_phase2_run1_model-to-del_20260720_094733,success,1.4747448768733287,1.4747448768733287,True,1.0570667549471469,1.0570667549471469,True,1.4299999938913033,1.4299999938913033,True,238259.0,237717.0,-542.0,428.40763902664185,412.6153836250305,-15.792255401611328,17.102155685424805,17.248031616210938,0.1458759307861328,0.651328444480896,0.6577252745628357,0.006396830081939697,0.47210851311683655,0.4640364646911621,-0.008072048425674438
4-Thomas-More-Church,4_thomas_more_church_phase2_run1_27-training-_20260712_151440,4_thomas_more_church_phase2_run1_model-to-del_20260720_095841,success,1.4747448768733287,1.4747448768733287,True,1.181155952824815,1.181155952824815,True,1.4299999938913033,1.4299999938913033,True,513043.0,509442.0,-3601.0,398.77219414711,386.27535462379456,-12.49683952331543,21.700300216674805,21.004846572875977,-0.6954536437988281,0.785186767578125,0.7697358131408691,-0.01545095443725586,0.2944187819957733,0.3168959319591522,0.022477149963378906
Brasov,brasov_phase2_run1_27-training-_20260712_153719,brasov_phase2_run1_model-to-del_20260720_100923,success,2.0574599129471225,2.0574599129471225,True,1.0570667549471469,1.0570667549471469,True,1.4299999938913033,1.4299999938913033,True,2666844.0,2662330.0,-4514.0,1002.833643913269,1033.9112992286682,31.07765531539917,23.53123664855957,23.502811431884766,-0.028425216674804688,0.8166520595550537,0.8156386613845825,-0.0010133981704711914,0.1663448065519333,0.16795818507671356,0.0016133785247802734
Changu,changu_phase2_run1_27-training-_20260712_163709,changu_phase2_run1_model-to-del_20260720_132733,success,1.6478653614491223,1.6478653614491223,True,1.3198119970798372,1.3198119970798372,True,0.7000000027571127,0.7000000027571127,True,1788047.0,1787450.0,-597.0,923.2016685009003,891.5069851875305,-31.69468331336975,20.13450813293457,20.17519187927246,0.040683746337890625,0.6463725566864014,0.6454810500144958,-0.0008915066719055176,0.46340522170066833,0.464586079120636,0.0011808574199676514
Chatteau_circle_60_and_45_degrees,chatteau_circle_60_and_45_degrees_phase2_run1_27-training-_20260712_171450,chatteau_circle_60_and_45_degrees_phase2_run1_model-to-del_20260720_104858,success,2.0574599129471225,2.0574599129471225,True,1.4747448768733287,1.4747448768733287,True,0.7000000027571127,0.7000000027571127,True,2308633.0,2285405.0,-23228.0,659.8314206600189,619.7007486820221,-40.130671977996826,23.677627563476562,23.653785705566406,-0.02384185791015625,0.6524050235748291,0.6529955267906189,0.0005905032157897949,0.25201237201690674,0.25218290090560913,0.00017052888870239258
DJI_202402171501_006_KTM20-oblique,dji_202402171501_006_ktm20_oblique_phase2_run1_27-training-_20260712_230432,dji_202402171501_006_ktm20_oblique_phase2_run1_model-to-del_20260720_160321,hard_cap_reached,2.568863543154017,2.568863543154017,True,1.181155952824815,1.181155952824815,True,0.7000000027571127,0.7000000027571127,True,6499029.0,6255621.0,-243408.0,2648.2282593250275,1267.5736033916473,-1380.6546559333801,22.58514976501465,,,0.7724666595458984,,,0.24005325138568878,,
Kninice_Church_of_the_Exaltation_of_the_Holy_Cross,kninice_church_of_the_exaltation_of_the_holy_cross_phase2_run1_27-training-_20260712_182523,kninice_church_of_the_exaltation_of_the_holy_cross_phase2_run1_model-to-del_20260720_112748,success,1.8413084812479656,1.8413084812479656,True,1.181155952824815,1.181155952824815,True,0.7000000027571127,0.7000000027571127,True,723203.0,719917.0,-3286.0,353.74847626686096,341.0589199066162,-12.689556360244751,21.324846267700195,21.082738876342773,-0.24210739135742188,0.707495391368866,0.7066037058830261,-0.0008916854858398438,0.3952225148677826,0.3964989483356476,0.0012764334678649902
morice,morice_phase2_run1_27-training-_20260712_200114,morice_phase2_run1_model-to-del_20260720_122308,success,1.6478653614491223,1.6478653614491223,True,1.3198119970798372,1.3198119970798372,True,0.7000000027571127,0.7000000027571127,True,2879923.0,2892987.0,13064.0,770.5561108589172,850.7811803817749,80.22506952285767,29.3524227142334,29.42323875427246,0.0708160400390625,0.8572837710380554,0.8577314615249634,0.000447690486907959,0.16905872523784637,0.1685848832130432,-0.0004738420248031616
Pix4d_forensic,pix4d_forensic_phase2_run1_27-training-_20260712_184530,pix4d_forensic_phase2_run1_model-to-del_20260720_113802,success,1.6478653614491223,1.6478653614491223,True,1.6478653614491223,1.6478653614491223,True,0.7000000027571127,0.7000000027571127,True,2342515.0,2334254.0,-8261.0,526.8464024066925,562.2214629650116,35.37506055831909,24.92041778564453,25.093141555786133,0.17272377014160156,0.6699469089508057,0.6702075004577637,0.0002605915069580078,0.41693973541259766,0.41520872712135315,-0.0017310082912445068
Telc_sv_Jakub_March_18,telc_sv_jakub_march_18_phase2_run1_27-training-_20260712_190853,telc_sv_jakub_march_18_phase2_run1_model-to-del_20260720_115159,success,1.6478653614491223,1.6478653614491223,True,1.3198119970798372,1.3198119970798372,True,0.7000000027571127,0.7000000027571127,True,2441484.0,2429479.0,-12005.0,586.4334876537323,596.0926942825317,9.659206628799438,21.4901065826416,21.403669357299805,-0.08643722534179688,0.7431781888008118,0.7424526214599609,-0.0007255673408508301,0.3567849099636078,0.35665711760520935,-0.0001277923583984375
Tiburon_Angel_Islands_State_Park_Split_group_3,tiburon_angel_islands_state_park_split_group_3_phase2_run1_27-training-_20260712_193351,tiburon_angel_islands_state_park_split_group_3_phase2_run1_model-to-del_20260720_120629,success,1.6478653614491223,1.6478653614491223,True,1.181155952824815,1.181155952824815,True,0.7000000027571127,0.7000000027571127,True,2543705.0,2515944.0,-27761.0,644.1828594207764,719.3859584331512,75.20309901237488,20.243732452392578,20.156673431396484,-0.08705902099609375,0.6748981475830078,0.6740432381629944,-0.0008549094200134277,0.438046395778656,0.4405890107154846,0.0025426149368286133
