term,coefficient,absolute_coefficient
intercept,-0.0107015536138184,0.0107015536138184
gsd_median,0.004997306944967294,0.004997306944967294
overlap_proxy,0.0011087534168434555,0.0011087534168434555
coverage_spread,-0.01310243933909662,0.01310243933909662
camera_angle_bucket,0.0,0.0
heading_consistency,0.0009136026272309557,0.0009136026272309557
texture_density,-0.028992885741109784,0.028992885741109784
blur_motion_risk,-0.02029546565553776,0.02029546565553776
terrain_roughness_proxy,0.0009858778360155936,0.0009858778360155936
vegetation_complexity_score,0.003012342846143055,0.003012342846143055
vegetation_cover_percentage,-0.0010363261200148398,0.0010363261200148398
log_geometry_lr_mult,0.042715231531860486,0.042715231531860486
log_appearance_lr_mult,0.020155533114085838,0.020155533114085838
log_densification_mult,-0.01869440394089399,0.01869440394089399
log_geometry_lr_mult^2,-0.03723651078116201,0.03723651078116201
log_appearance_lr_mult^2,-0.03695936817544731,0.03695936817544731
log_densification_mult^2,0.3448834137758714,0.3448834137758714
gsd_median x log_geometry_lr_mult,0.0038679487548742204,0.0038679487548742204
overlap_proxy x log_geometry_lr_mult,-0.003827374161911675,0.003827374161911675
coverage_spread x log_geometry_lr_mult,-0.008084319524145196,0.008084319524145196
camera_angle_bucket x log_geometry_lr_mult,0.0,0.0
heading_consistency x log_geometry_lr_mult,-0.001529670373860777,0.001529670373860777
texture_density x log_geometry_lr_mult,0.013765258864658075,0.013765258864658075
blur_motion_risk x log_geometry_lr_mult,0.017563175595856927,0.017563175595856927
terrain_roughness_proxy x log_geometry_lr_mult,-0.00886986343487204,0.00886986343487204
vegetation_complexity_score x log_geometry_lr_mult,0.06547089806619652,0.06547089806619652
vegetation_cover_percentage x log_geometry_lr_mult,-0.06819711978507627,0.06819711978507627
gsd_median x log_appearance_lr_mult,-0.0022536007489766707,0.0022536007489766707
overlap_proxy x log_appearance_lr_mult,0.0010126703592394303,0.0010126703592394303
coverage_spread x log_appearance_lr_mult,-0.00811797867842005,0.00811797867842005
camera_angle_bucket x log_appearance_lr_mult,0.0,0.0
heading_consistency x log_appearance_lr_mult,0.00014258970114693176,0.00014258970114693176
texture_density x log_appearance_lr_mult,0.018566750790163344,0.018566750790163344
blur_motion_risk x log_appearance_lr_mult,0.013071829706580823,0.013071829706580823
terrain_roughness_proxy x log_appearance_lr_mult,-0.010985579600071769,0.010985579600071769
vegetation_complexity_score x log_appearance_lr_mult,-0.01420642094595047,0.01420642094595047
vegetation_cover_percentage x log_appearance_lr_mult,0.012584987317828063,0.012584987317828063
gsd_median x log_densification_mult,0.011253852584897235,0.011253852584897235
overlap_proxy x log_densification_mult,-0.003389990172486398,0.003389990172486398
coverage_spread x log_densification_mult,0.014858184613372285,0.014858184613372285
camera_angle_bucket x log_densification_mult,0.0,0.0
heading_consistency x log_densification_mult,-0.0035533353436956994,0.0035533353436956994
texture_density x log_densification_mult,-0.03725312838287403,0.03725312838287403
blur_motion_risk x log_densification_mult,-0.025070201477873224,0.025070201477873224
terrain_roughness_proxy x log_densification_mult,0.016259599651851992,0.016259599651851992
vegetation_complexity_score x log_densification_mult,-0.013846588460717114,0.013846588460717114
vegetation_cover_percentage x log_densification_mult,0.016739329962690473,0.016739329962690473
